id,l1,l2,l3,rooms,bedrooms,bathrooms,surface_total,surface_covered,price
38681,Argentina,Capital Federal,Paternal,3,2,2,,,125000
38682,Argentina,Capital Federal,Paternal,3,2,1,43,43,78000
38683,Argentina,Capital Federal,Recoleta,3,2,1,74,74,450000
38684,Argentina,Capital Federal,Belgrano,3,2,1,50,50,129000
38685,Argentina,Capital Federal,Palermo,4,3,2,109,100,438000
38686,Argentina,Capital Federal,Belgrano,3,2,3,87,75,290000
38687,Argentina,Capital Federal,Belgrano,3,2,2,97,82,300000
38688,Argentina,Capital Federal,Balvanera,3,2,2,73,65,168000
38689,Argentina,Capital Federal,Caballito,3,2,1,89,85,195000
38690,Argentina,Capital Federal,Caballito,3,2,1,53,52,120000
38691,Argentina,Capital Federal,Caballito,3,2,2,,80,289900
38692,Argentina,Capital Federal,Caballito,3,2,1,,50,155000
38693,Argentina,Capital Federal,Colegiales,3,2,1,,,215000
38694,Argentina,Capital Federal,Colegiales,3,2,1,58,55,147000
38695,Argentina,Capital Federal,Caballito,3,2,2,90,78,262000
38696,Argentina,Capital Federal,Colegiales,3,2,1,,,190000
38697,Argentina,Capital Federal,Colegiales,3,2,1,46,46,110000
38698,Argentina,Capital Federal,Puerto Madero,3,2,2,160,160,1000000
38699,Argentina,Capital Federal,Belgrano,3,2,3,92,91,230000
38700,Argentina,Capital Federal,Retiro,4,3,2,135,120,310000
38701,Argentina,Capital Federal,Puerto Madero,3,2,2,170,170,1100000
38702,Argentina,Capital Federal,Puerto Madero,3,2,2,170,170,830000
38703,Argentina,Capital Federal,Puerto Madero,3,2,2,98,98,450000
38704,Argentina,Capital Federal,Villa Crespo,3,2,2,63,58,220000
38705,Argentina,Capital Federal,San Nicolás,3,2,1,,58,135000
38706,Argentina,Capital Federal,Barrio Norte,3,2,1,70,65,155000
38707,Argentina,Capital Federal,Belgrano,3,2,1,57,53,180000
38708,Argentina,Capital Federal,Tribunales,3,2,1,43,43,90000
38709,Argentina,Capital Federal,Almagro,4,3,1,75,72,210000
38710,Argentina,Capital Federal,Puerto Madero,3,2,2,188,188,1200000
38711,Argentina,Capital Federal,Belgrano,4,3,3,147,117,410000
38712,Argentina,Capital Federal,Recoleta,5,3,3,167,167,490000
38713,Argentina,Capital Federal,Belgrano,4,3,2,135,125,320000
38714,Argentina,Capital Federal,Belgrano,4,3,2,139,120,395000
38715,Argentina,Capital Federal,Palermo,4,3,1,136,124,280000
38716,Argentina,Capital Federal,Palermo,4,3,2,118,118,250000
38717,Argentina,Capital Federal,Palermo,4,3,2,199,152,1000000
38718,Argentina,Capital Federal,Palermo,4,3,2,139,120,395000
38719,Argentina,Capital Federal,Retiro,4,3,1,123,123,330000
38720,Argentina,Capital Federal,Nuñez,4,3,2,,,365000
38721,Argentina,Capital Federal,Villa Urquiza,3,2,1,83,75,223000
38722,Argentina,Capital Federal,Villa Crespo,2,1,1,59,50,155000
38723,Argentina,Capital Federal,Saavedra,4,3,2,97,94,189000
38724,Argentina,Capital Federal,Belgrano,3,3,2,112,100,395000
38725,Argentina,Capital Federal,Caballito,4,3,4,155,155,480000
38726,Argentina,Capital Federal,Barrio Norte,2,,1,46,40,115000
38727,Argentina,Capital Federal,Colegiales,4,3,1,73,65,170000
38728,Argentina,Capital Federal,Boedo,2,1,1,42,42,80000
38729,Argentina,Capital Federal,Saavedra,1,,1,28,25,85000
38730,Argentina,Capital Federal,Nuñez,2,1,1,48,42,200000
38731,Argentina,Capital Federal,Almagro,2,1,1,40,40,80000
38732,Argentina,Capital Federal,Almagro,2,1,1,48,45,135000
38733,Argentina,Capital Federal,Almagro,2,1,1,40,40,80000
38734,Argentina,Capital Federal,Coghlan,2,1,1,62,55,118300
38735,Argentina,Capital Federal,Coghlan,1,1,1,106,48,145713
38736,Argentina,Capital Federal,Coghlan,2,1,1,59,53,109688
38737,Argentina,Capital Federal,Caballito,4,3,2,111,105,325000
38738,Argentina,Capital Federal,Palermo,1,1,1,41,35,119000
38739,Argentina,Capital Federal,Palermo,2,1,1,56,49,168030
38740,Argentina,Capital Federal,Palermo,2,1,1,42,42,95000
38741,Argentina,Capital Federal,Palermo,1,1,1,56,24,130700
38742,Argentina,Capital Federal,Belgrano,2,1,1,44,35,119000
38743,Argentina,Capital Federal,Belgrano,1,1,1,27,27,83500
38744,Argentina,Capital Federal,Recoleta,2,1,1,72,65,215000
38745,Argentina,Capital Federal,Saavedra,,1,1,,50,128000
38746,Argentina,Capital Federal,Agronomía,2,1,1,,,90500
38747,Argentina,Capital Federal,Barrio Norte,5,3,2,155,155,385000
38748,Argentina,Capital Federal,Palermo,2,1,1,74,33,175900
38749,Argentina,Capital Federal,Palermo,1,1,1,25,23,78500
38750,Argentina,Capital Federal,Palermo,3,2,1,56,56,180000
38751,Argentina,Capital Federal,Puerto Madero,3,2,2,,,910000
38752,Argentina,Capital Federal,Palermo,3,2,1,100,92,220000
38753,Argentina,Capital Federal,Liniers,3,2,1,87,87,130000
38754,Argentina,Capital Federal,Coghlan,3,2,1,72,72,144000
38755,Argentina,Capital Federal,Almagro,3,2,1,82,58,185000
38756,Argentina,Capital Federal,Almagro,3,2,1,109,65,215000
38757,Argentina,Capital Federal,Nuñez,3,2,2,82,78,370000
38758,Argentina,Capital Federal,Nuñez,3,2,2,65,60,210000
38759,Argentina,Capital Federal,Boedo,3,2,1,56,53,109000
38760,Argentina,Capital Federal,Parque Chacabuco,2,1,1,51,44,105000
38761,Argentina,Capital Federal,Villa Urquiza,1,1,1,27,25,69700
38762,Argentina,Capital Federal,Puerto Madero,2,1,1,65,65,395000
38763,Argentina,Capital Federal,Villa Ortuzar,2,1,1,44,36,115000
38764,Argentina,Capital Federal,Villa Urquiza,1,1,1,25,25,63900
38765,Argentina,Capital Federal,Villa Urquiza,2,1,1,56,39,131900
38766,Argentina,Capital Federal,Villa Urquiza,2,1,1,42,40,115900
38767,Argentina,Capital Federal,Villa Urquiza,2,1,1,35,35,89000
38768,Argentina,Capital Federal,Recoleta,1,,1,,20,55000
38769,Argentina,Capital Federal,Villa Urquiza,2,1,1,47,39,127900
38770,Argentina,Capital Federal,Villa Urquiza,2,1,1,48,42,129000
38771,Argentina,Capital Federal,Palermo,3,2,1,,,175000
38772,Argentina,Capital Federal,Puerto Madero,3,2,3,,140,2000000
38773,Argentina,Capital Federal,Palermo,3,2,2,69,,279000
38774,Argentina,Capital Federal,Palermo,3,2,1,100,92,220000
38775,Argentina,Capital Federal,Puerto Madero,3,2,2,,,595000
38776,Argentina,Capital Federal,Puerto Madero,3,2,3,,169,900000
38777,Argentina,Capital Federal,Villa Crespo,3,2,1,77,71,215000
38778,Argentina,Capital Federal,San Nicolás,3,2,1,52,,79500
38779,Argentina,Capital Federal,Barrio Norte,3,2,2,70,70,170000
38780,Argentina,Capital Federal,Villa Luro,3,2,1,75,75,159000
38781,Argentina,Capital Federal,San Telmo,3,2,1,61,,135000
38782,Argentina,Capital Federal,San Telmo,4,2,1,74,49,199000
38783,Argentina,Capital Federal,Caballito,3,2,1,,,175000
38784,Argentina,Capital Federal,Caballito,3,2,1,76,70,215000
38785,Argentina,Capital Federal,Caballito,3,2,1,60,55,169000
38786,Argentina,Capital Federal,Recoleta,3,2,1,100,89,350000
